,age,serveTime,credLimit,Loan,SalPerY,holdCard,Career
3448,30,,300000,1,100000,0,2
3468,29,,250000,1,100000,0,2
3214,29,12,180000,,100000,0,2
2598,24,,130000,,100000,0,3
1611,,36,60000,0,100000,0,1
665,20,12,20000,0,100000,0,1
1511,24,12,20000,0,100000,0,1
1520,25,12,20000,,100000,0,1
1549,20,,20000,0,100000,0,1
1568,22,,20000,0,100000,0,1
1583,24,,20000,1,100000,0,1
2498,25,18,20000,0,100000,1,1
2695,21,,20000,0,100000,1,1
3319,21,36,20000,0,100000,0,2
3516,,,20000,,110000,1,2
2132,22,3,60000,0,120000,0,2
3058,,12,60000,0,120000,0,2
3059,,12,60000,0,120000,0,2
1257,25,3,50000,,120000,0,1
2751,22,2,50000,0,120000,0,2
1309,22,0,30000,,120000,0,2
2131,25,2,30000,0,120000,1,2
335,22,,20000,0,120000,1,2
619,21,24,20000,0,120000,1,2
1567,,,20000,0,120000,0,1
1601,20,3,20000,,120000,0,1
1625,22,36,20000,0,120000,0,1
1853,22,36,20000,1,120000,0,2
1950,22,6,20000,0,120000,0,2
2141,25,0,20000,0,120000,0,2
2475,20,,20000,0,120000,0,1
3347,21,,20000,0,120000,0,1
3354,22,,20000,1,120000,0,1
787,25,8,20000,1,130000,0,2
1188,25,9,20000,0,130000,0,2
1604,22,3,20000,0,130000,0,2
1657,21,,20000,,130000,0,1
2136,28,8,20000,0,130000,0,2
2137,28,8,20000,0,130000,0,2
155,23,14,30000,0,140000,0,2
1523,23,17,20000,1,140000,1,2
1002,21,24,20000,0,149000,1,1
2133,25,3,60000,0,150000,0,2
1245,25,4,50000,0,150000,0,3
287,25,25,20000,0,150000,1,2
872,20,19,20000,0,150000,0,1
1307,22,12,20000,0,150000,0,1
1509,20,24,20000,0,150000,0,1
1515,21,3,20000,0,150000,0,1
1518,20,12,20000,0,150000,1,1
1524,26,24,20000,0,150000,0,1
1576,24,,20000,1,150000,0,1
1580,20,,20000,0,150000,0,1
1582,21,,20000,1,150000,0,1
1600,22,11,20000,3,150000,0,1
1610,22,3,20000,1,150000,0,1
1623,22,7,20000,1,150000,0,1
1747,23,3,20000,0,150000,1,1
2139,,3,20000,0,150000,0,2
2479,20,24,20000,0,150000,1,1
2685,20,24,20000,0,150000,1,1
2772,20,6,20000,0,150000,1,2
3188,,11,20000,0,150000,0,1
3466,22,,20000,0,150000,0,2
3490,20,24,20000,0,150000,0,2
3492,20,24,20000,0,150000,0,1
3507,21,3,20000,0,150000,0,1
3513,20,,20000,0,150000,0,2
3527,22,1,20000,0,150000,0,2
1566,21,0,20000,0,170000,0,1
1619,25,36,30000,,180000,0,1
3233,23,,30000,,180000,0,2
799,21,6,20000,0,180000,1,1
1516,21,6,20000,0,180000,0,2
1921,,24,20000,0,180000,0,1
1960,20,3,20000,,180000,0,1
2730,22,,20000,1,180000,0,2
1231,24,7,70000,1,200000,0,1
1537,24,,70000,,200000,0,1
1585,21,5,70000,,200000,0,1
2599,31,72,70000,,200000,0,2
666,24,,60000,0,200000,0,2
3261,,17,60000,0,200000,1,1
2027,22,12,50000,,200000,0,2
2138,26,10,50000,0,200000,0,2
152,23,1,30000,,200000,0,1
1771,,,30000,0,200000,0,3
1927,28,120,30000,0,200000,0,2
2588,28,120,30000,0,200000,0,2
3313,23,1,30000,,200000,0,1
31,20,,20000,0,200000,0,1
96,20,,20000,1,200000,1,1
305,20,16,20000,0,200000,0,1
606,21,,20000,0,200000,1,1
734,20,8,20000,0,200000,0,1
871,23,0,20000,1,200000,1,1
1243,24,8,20000,3,200000,1,2
1321,,24,20000,0,200000,1,2
1348,22,12,20000,,200000,0,1
1502,21,12,20000,,200000,0,1
1508,24,18,20000,0,200000,0,2
1514,20,9,20000,0,200000,1,2
1527,20,24,20000,0,200000,0,1
1528,22,24,20000,0,200000,0,1
1529,21,,20000,,200000,0,1
1530,20,24,20000,0,200000,0,1
1553,21,6,20000,3,200000,0,2
1561,20,,20000,0,200000,0,2
1562,21,1,20000,0,200000,0,1
1590,,,20000,0,200000,0,1
1591,21,6,20000,0,200000,0,1
1593,22,15,20000,0,200000,1,4
1602,21,9,20000,0,200000,0,1
1612,,12,20000,0,200000,0,1
1613,,18,20000,0,200000,1,1
1920,22,12,20000,1,200000,0,1
2480,,24,20000,0,200000,1,1
2531,23,0,20000,0,200000,1,1
2562,20,12,20000,3,200000,0,1
3007,20,6,20000,0,200000,0,2
3178,21,3,20000,,200000,0,2
3263,20,12,20000,0,200000,1,1
3455,22,,20000,0,200000,0,1
3489,20,12,20000,,200000,0,1
1878,27,6,71000,0,220000,0,2
1108,,2,50000,0,220000,1,2
3523,,,50000,0,220000,0,2
1074,20,24,20000,0,220000,0,2
1533,24,0,20000,0,220000,1,2
1609,,8,20000,1,220000,0,1
2996,20,2,20000,1,220000,0,1
3005,20,48,20000,3,220000,1,1
3191,21,,20000,,220000,0,1
3402,20,5,20000,0,220000,1,2
1043,26,36,50000,0,230000,0,1
313,26,36,45000,0,230000,1,2
2435,26,24,30000,0,230000,1,2
911,20,12,20000,0,230000,0,2
1242,21,0,20000,0,230000,0,1
3176,21,12,20000,0,230000,1,1
3518,22,3,20000,1,230000,1,1
2590,33,12,130000,,240000,0,2
1405,33,,100000,,240000,0,2
1270,24,14,60000,0,240000,0,3
776,24,0,50000,0,240000,0,2
803,25,,50000,1,240000,1,2
1253,24,0,50000,,240000,1,2
1254,24,0,50000,,240000,1,2
3379,,1,50000,,240000,1,2
849,24,10,30000,3,240000,0,3
991,20,4,20000,0,240000,0,1
1538,20,,20000,0,240000,1,1
1607,20,8,20000,0,240000,0,1
723,30,,200000,0,250000,1,2
1697,56,,150000,0,250000,1,2
1871,22,1,91000,1,250000,0,2
2545,27,24,80000,1,250000,0,2
3384,,,74000,0,250000,0,2
2546,24,8,70000,1,250000,1,2
3422,21,17,65000,,250000,0,2
541,22,12,30000,0,250000,0,2
1725,23,12,30000,,250000,0,2
844,22,5,20000,1,250000,0,1
865,22,12,20000,0,250000,1,2
1539,21,12,20000,0,250000,0,1
1570,20,12,20000,0,250000,0,1
1924,21,24,20000,0,250000,1,1
2186,25,,20000,0,250000,0,1
2752,23,1278,20000,0,250000,1,2
3472,20,,20000,,250000,0,1
2,22,,20000,,260000,0,1
1572,23,11,20000,0,260000,0,2
1899,21,36,20000,0,260000,0,1
3501,23,,20000,0,260000,0,2
3366,27,,264000,0,264000,1,2
1519,24,24,20000,1,264000,0,1
3320,22,,50000,0,270000,0,4
1784,27,,30000,0,270000,0,2
227,21,,20000,0,270000,0,1
477,21,,20000,0,270000,1,1
933,21,12,20000,0,270000,1,2
2600,27,2,100000,0,280000,1,2
3360,20,,65000,3,280000,0,2
1943,20,0,30000,1,280000,0,2
2323,30,13,100000,0,290000,0,2
1323,31,72,270000,0,300000,1,2
1386,40,240,200000,2,300000,0,4
2028,23,12,152000,,300000,0,2
779,28,0,150000,0,300000,0,2
1252,34,5,150000,0,300000,0,2
2109,28,24,140000,3,300000,0,2
2526,25,,130000,0,300000,1,2
2559,28,,130000,0,300000,1,2
2615,28,,130000,,300000,1,2
2716,26,28,130000,0,300000,0,2
1940,,5,120000,0,300000,0,2
2470,25,3,120000,,300000,1,2
999,25,0,110000,0,300000,1,2
2449,31,,110000,,300000,0,2
1649,22,3,105000,0,300000,0,4
1938,29,3,102000,0,300000,0,2
345,23,5,100000,0,300000,0,4
491,22,13,100000,0,300000,0,2
572,25,,100000,0,300000,1,2
641,25,8,100000,0,300000,1,2
781,25,8,100000,0,300000,0,2
852,30,36,100000,0,300000,1,2
1176,26,5,100000,0,300000,1,2
1212,33,96,100000,0,300000,1,2
1328,,10,100000,0,300000,1,2
1790,26,4,100000,0,300000,0,2
2234,22,8,100000,0,300000,1,4
2774,25,12,100000,0,300000,1,2
3182,33,96,100000,0,300000,1,2
421,,2,90000,0,300000,0,2
1875,23,1,89000,1,300000,0,2
1879,23,3,83000,1,300000,0,2
1225,24,,80000,1,300000,1,2
1855,24,0,80000,0,300000,0,3
1919,26,0,80000,0,300000,0,2
3289,24,3,71000,0,300000,0,2
1264,29,2,70000,0,300000,1,2
1801,24,12,70000,0,300000,0,2
1828,26,24,70000,0,300000,0,2
1935,20,12,70000,,300000,0,2
2272,28,36,70000,1,300000,1,3
123,24,12,60000,0,300000,0,2
341,23,7,60000,3,300000,1,2
898,22,48,60000,,300000,1,2
1316,22,,60000,1,300000,0,2
1565,24,12,60000,0,300000,0,1
1812,28,60,60000,0,300000,0,2
1815,24,11,60000,1,300000,0,2
1929,,1,60000,0,300000,0,2
1987,28,,60000,,300000,1,2
2556,25,3,60000,0,300000,1,2
2765,21,12,60000,0,300000,0,2
3166,23,3,60000,0,300000,0,2
130,23,9,50000,,300000,1,2
132,23,0,50000,,300000,1,2
224,26,60,50000,0,300000,1,2
602,27,48,50000,0,300000,0,2
754,28,24,50000,3,300000,1,2
921,25,1,50000,0,300000,0,2
979,24,6,50000,0,300000,1,2
1293,23,,50000,0,300000,1,1
1578,22,12,50000,0,300000,0,1
1756,23,,50000,0,300000,0,3
1802,,0,50000,0,300000,0,2
2577,28,36,50000,1,300000,0,2
3266,23,6,50000,0,300000,0,2
3359,23,,50000,1,300000,0,2
3442,25,,50000,,300000,0,2
1241,24,15,40000,1,300000,0,2
3051,23,,40000,0,300000,1,1
471,25,1,33000,0,300000,0,2
526,23,5,30000,0,300000,1,2
851,22,0,30000,,300000,0,2
1289,26,15,30000,0,300000,1,2
1322,25,8,30000,0,300000,0,2
2544,25,24,30000,0,300000,0,2
3192,23,12,30000,,300000,0,1
3419,22,,30000,0,300000,1,2
3449,21,22,30000,0,300000,0,2
77,21,13,20000,0,300000,1,2
115,20,,20000,0,300000,0,1
380,21,,20000,0,300000,0,1
396,22,48,20000,0,300000,1,2
798,23,12,20000,0,300000,1,1
1346,20,,20000,0,300000,0,1
1355,21,13,20000,1,300000,1,2
1517,22,36,20000,1,300000,1,2
1534,21,1,20000,,300000,0,2
1556,,,20000,0,300000,0,1
1652,23,12,20000,1,300000,0,2
1909,23,2,20000,0,300000,0,2
1967,21,36,20000,0,300000,0,2
2501,22,,20000,0,300000,1,1
2613,21,4,20000,1,300000,0,2
3104,22,12,20000,1,300000,1,2
3327,20,1,20000,0,300000,0,2
3400,22,10,20000,,300000,0,1
3485,22,,20000,3,300000,0,1
3356,23,,100000,1,310000,0,2
2525,24,6,50000,0,310000,1,2
3146,23,3,50000,1,310000,0,1
3357,22,,50000,0,312000,0,1
1823,23,8,130000,0,320000,0,2
886,,7,120000,0,320000,0,2
1154,32,12,100000,3,320000,1,2
1817,23,8,100000,0,320000,0,2
3113,27,1,100000,0,320000,1,2
391,24,4,95000,1,320000,1,2
934,23,3,80000,0,320000,0,2
3084,21,16,80000,2,320000,1,2
43,22,3,70000,1,320000,1,2
959,24,24,60000,1,320000,1,2
329,23,2,50000,0,320000,1,2
1627,,36,50000,0,320000,1,2
1645,,36,50000,0,320000,0,2
3463,22,,50000,,320000,0,1
3268,23,36,40000,1,320000,1,2
1830,20,8,30000,0,320000,0,2
2222,24,12,20000,3,320000,0,2
1748,24,5,90000,0,324000,0,4
1791,24,4,50000,0,324000,0,4
3316,21,2,330000,1,330000,0,1
571,32,12,100000,3,330000,1,2
1639,23,0,95000,1,330000,0,2
750,22,14,60000,0,330000,0,2
1025,23,24,60000,0,330000,0,2
542,23,7,50000,0,330000,1,2
1694,24,2,50000,0,330000,1,4
2922,23,48,50000,0,330000,1,2
3336,,0,50000,1,330000,0,2
920,21,26,20000,0,330000,1,2
3364,21,2,20000,,330000,0,2
3494,,,20000,1,330000,0,2
344,25,38,145000,0,340000,0,2
136,30,7,80000,0,340000,1,2
626,27,0,60000,0,340000,1,2
1911,23,14,20000,1,340000,0,1
3307,23,1,350000,0,350000,1,2
687,27,12,150000,0,350000,1,2
2520,25,19,150000,1,350000,1,2
1868,22,4,129000,0,350000,0,2
2960,23,21,119000,0,350000,0,3
2994,25,6,115000,1,350000,0,2
1874,23,9,110000,0,350000,0,2
2493,24,24,100000,1,350000,1,2
2496,23,12,100000,0,350000,1,2
2771,29,24,100000,,350000,0,2
3333,22,,100000,,350000,0,2
2982,24,8,92000,1,350000,0,2
2981,22,4,90000,0,350000,1,2
3015,25,36,87000,0,350000,0,2
546,28,22,80000,0,350000,1,2
568,26,16,80000,0,350000,1,2
1966,,12,75000,0,350000,0,2
1948,23,11,70000,1,350000,0,2
2894,24,24,68000,1,350000,1,2
1244,30,12,60000,1,350000,1,2
1337,24,13,60000,0,350000,0,2
1723,25,,60000,,350000,0,2
2153,25,10,60000,0,350000,0,2
3370,23,,60000,,350000,0,2
393,23,5,50000,0,350000,1,2
528,27,0,50000,3,350000,0,2
887,25,8,50000,0,350000,0,3
3151,27,12,50000,,350000,0,2
210,22,12,30000,1,350000,0,2
943,24,1,30000,0,350000,1,2
1713,23,0,30000,0,350000,0,3
1763,23,20,30000,0,350000,0,2
1443,21,2,20000,0,350000,1,2
1444,21,2,20000,0,350000,1,2
2569,22,,20000,,352019,0,1
945,31,72,220000,0,360000,1,2
1248,25,36,210000,0,360000,0,4
3150,22,13,200000,0,360000,1,3
3462,23,,150000,0,360000,0,2
3,,,150000,2,360000,1,2
67,29,16,150000,3,360000,1,2
2151,23,9,150000,0,360000,1,2
2542,35,24,130000,,360000,1,2
3199,23,10,120000,0,360000,0,2
1689,24,0,110000,0,360000,1,2
92,28,10,100000,0,360000,0,2
3076,24,2,100000,0,360000,0,2
1155,25,2,91000,1,360000,0,2
640,21,3,90000,0,360000,1,2
508,27,,80000,0,360000,0,2
514,30,,80000,0,360000,0,2
712,25,3,80000,0,360000,0,2
925,27,,80000,0,360000,0,2
2832,22,0,80000,0,360000,1,2
3362,23,,80000,0,360000,1,2
1843,23,6,70000,1,360000,0,2
293,25,7,60000,1,360000,0,2
1821,27,5,60000,0,360000,0,2
1829,23,4,60000,0,360000,0,2
1846,24,9,60000,0,360000,0,2
1897,24,12,60000,1,360000,0,3
3285,20,36,60000,0,360000,0,2
3299,22,6,60000,,360000,0,2
522,28,0,50000,0,360000,0,2
632,25,12,50000,0,360000,0,2
667,22,,50000,0,360000,0,2
1238,24,12,50000,,360000,1,2
1510,25,24,50000,0,360000,1,1
1603,22,8,50000,1,360000,0,4
1854,20,13,50000,,360000,0,1
668,23,60,30000,0,360000,1,2
1884,26,24,30000,0,360000,0,2
1906,23,10,30000,0,360000,0,2
1989,,36,30000,1,360000,1,2
309,32,11,25000,0,360000,1,2
561,23,30,20000,0,360000,1,4
992,23,30,20000,0,360000,1,4
1951,,,20000,0,360000,1,3
1901,,4,130000,0,370000,0,3
1700,36,72,100000,,370000,0,2
3221,26,,180000,0,380000,1,2
3256,24,5,130000,0,380000,0,2
151,29,72,120000,2,380000,1,2
2514,24,6,110000,0,380000,0,2
3278,24,5,100000,0,380000,0,2
1462,27,9,81000,0,380000,0,3
2080,26,24,81000,0,380000,1,2
720,33,29,70000,0,380000,0,2
1718,31,36,50000,0,380000,0,2
2334,25,15,50000,0,380000,1,2
3201,23,1,110000,0,390000,0,2
1816,23,,60000,1,390000,0,2
1916,25,6,60000,0,390000,0,2
1642,22,10,50000,1,390000,0,4
1577,23,,20000,1,390000,0,1
75,27,,565000,0,400000,1,2
1157,,6,400000,0,400000,1,4
2257,30,12,400000,0,400000,0,2
141,25,24,360000,0,400000,0,2
304,,,210000,0,400000,0,2
2712,,8,200000,0,400000,1,2
2952,28,6,196000,0,400000,1,2
1345,25,0,190000,0,400000,0,2
1156,25,11,180000,,400000,0,2
1727,28,2,180000,0,400000,0,2
2444,25,23,170000,,400000,0,2
3346,24,,170000,0,400000,1,3
2939,24,3,169000,0,400000,0,2
1040,23,2,160000,,400000,0,2
1114,28,16,160000,0,400000,1,2
3017,25,3,150000,0,400000,0,3
1007,30,96,150000,0,400000,1,2
1892,28,15,150000,0,400000,0,2
2265,31,60,150000,,400000,0,2
2692,35,1,150000,,400000,0,2
3101,29,72,150000,0,400000,1,2
2811,45,3,141000,0,400000,1,2
473,25,16,140000,0,400000,1,2
609,22,3,140000,1,400000,1,2
2149,26,21,140000,0,400000,0,3
2883,24,,140000,0,400000,1,2
3171,24,9,140000,0,400000,1,2
972,28,34,130000,0,400000,1,2
1005,35,58,130000,3,400000,0,2
1047,27,33,130000,,400000,1,2
2735,25,11,130000,,400000,0,2
3140,25,12,130000,0,400000,1,3
3185,21,27,130000,0,400000,1,2
2962,28,14,127000,0,400000,0,2
2930,23,4,123000,0,400000,1,2
279,23,2,120000,0,400000,0,2
861,27,3,120000,0,400000,0,4
867,23,4,120000,0,400000,0,2
984,27,16,120000,0,400000,1,3
1247,27,0,120000,0,400000,0,2
1632,24,4,120000,1,400000,0,2
2241,29,84,120000,,400000,0,2
448,29,2,116000,0,400000,1,2
363,22,0,115000,1,400000,0,2
1722,24,39,115000,0,400000,0,2
2107,28,,115000,,400000,1,2
2984,25,,115000,0,400000,0,2
131,23,9,110000,1,400000,1,2
1741,23,6,110000,0,400000,0,4
3133,36,96,110000,2,400000,1,2
3211,27,16,110000,0,400000,0,2
3260,,24,110000,0,400000,1,2
1638,24,3,105000,1,400000,0,2
3521,22,,100000,0,400000,0,2
68,23,26,100000,0,400000,0,2
412,28,15,100000,0,400000,1,2
863,36,72,100000,0,400000,1,2
1336,32,36,100000,0,400000,1,2
1429,28,24,100000,1,400000,0,2
1486,22,39,100000,,400000,0,2
1783,24,2,100000,0,400000,0,2
2174,24,2,100000,0,400000,0,2
2284,34,36,100000,3,400000,1,4
2305,30,9,100000,,400000,1,2
2405,30,48,100000,0,400000,1,2
2576,25,4,100000,0,400000,1,2
2698,25,24,100000,1,400000,0,2
2885,24,,100000,0,400000,1,2
3039,29,12,100000,0,400000,0,2
3102,23,1,100000,0,400000,0,3
3301,,3,100000,,400000,0,3
1738,,1,95000,0,400000,0,2
3027,21,12,94000,2,400000,0,2
3219,,0,86000,1,400000,1,2
1044,24,8,84000,0,400000,1,2
2770,30,60,83000,3,400000,0,2
593,26,36,80000,0,400000,1,2
697,24,348,80000,1,400000,1,2
790,22,7,80000,0,400000,1,2
869,23,4,80000,1,400000,0,2
876,23,3,80000,1,400000,1,2
1102,30,84,80000,3,400000,1,2
1234,39,29,80000,3,400000,1,3
1617,,48,80000,0,400000,0,1
1732,23,4,80000,0,400000,0,2
1862,31,72,80000,0,400000,0,2
2155,25,10,80000,0,400000,0,2
2467,31,0,80000,,400000,0,4
2478,25,15,80000,,400000,0,2
2564,25,1,80000,0,400000,0,3
2718,25,36,80000,3,400000,1,2
2750,24,12,80000,,400000,0,2
2773,23,12,80000,,400000,1,2
3022,39,24,80000,0,400000,1,3
3186,21,18,80000,0,400000,1,2
3205,25,12,80000,0,400000,0,2
3257,22,5,80000,0,400000,0,2
2077,23,24,72000,1,400000,1,2
2978,23,3,70000,1,400000,0,2
15,26,12,70000,0,400000,1,3
1178,25,4,70000,,400000,0,2
1629,23,1,70000,1,400000,0,2
1903,25,28,70000,0,400000,0,2
1956,31,6,70000,0,400000,0,2
3483,,24,70000,1,400000,0,4
3524,24,,70000,1,400000,1,4
36,23,5,60000,0,400000,0,4
205,25,3,60000,0,400000,0,3
447,22,1,60000,0,400000,0,2
540,24,4,60000,0,400000,1,2
768,27,,60000,0,400000,0,2
788,25,4,60000,1,400000,0,2
838,33,72,60000,,400000,1,2
873,,19,60000,0,400000,0,2
1120,23,10,60000,0,400000,0,2
1276,27,17,60000,0,400000,0,4
1317,25,0,60000,0,400000,0,3
1354,36,24,60000,,400000,0,2
1397,27,12,60000,0,400000,0,2
1712,27,24,60000,0,400000,0,2
1762,22,7,60000,1,400000,0,2
1832,32,24,60000,0,400000,0,3
2129,,120,60000,3,400000,0,2
2869,27,24,60000,,400000,1,3
3265,,3,60000,1,400000,0,2
3330,23,4,60000,1,400000,0,2
42,,4,50000,0,400000,0,2
201,23,2,50000,0,400000,0,3
658,22,0,50000,0,400000,0,2
800,22,20,50000,0,400000,0,2
807,25,4,50000,0,400000,0,3
919,25,17,50000,1,400000,0,2
998,27,3,50000,0,400000,1,2
1233,25,12,50000,0,400000,0,2
1236,29,24,50000,0,400000,1,2
1343,24,24,50000,0,400000,0,2
1367,23,3,50000,,400000,0,2
1368,28,18,50000,1,400000,0,2
1793,22,24,50000,0,400000,0,2
1882,,4,50000,0,400000,0,3
2002,,36,50000,0,400000,1,2
2858,33,10,50000,,400000,0,2
2872,24,1,50000,0,400000,1,2
3035,28,24,50000,1,400000,1,2
3187,23,6,50000,1,400000,0,2
3197,28,24,50000,0,400000,0,2
94,20,16,40000,,400000,0,2
166,28,,40000,3,400000,0,2
1324,22,5,40000,0,400000,0,2
322,25,3,30000,0,400000,1,4
1268,26,24,30000,,400000,0,2
1573,22,12,30000,0,400000,1,2
1861,20,9,30000,3,400000,0,2
3045,26,3,30000,0,400000,1,2
3046,26,3,30000,0,400000,1,2
3198,23,4,30000,0,400000,0,2
3273,26,2,30000,0,400000,0,2
3378,,,30000,,400000,0,3
3381,,18,30000,0,400000,0,2
3413,23,4,30000,0,400000,1,2
3491,23,,30000,0,400000,0,2
1213,28,24,20000,1,400000,1,2
1588,20,60,20000,0,400000,1,1
1615,21,24,20000,0,400000,1,1
1616,21,24,20000,0,400000,1,1
2424,21,24,20000,0,400000,1,1
2889,26,15,20000,1,400000,0,2
2957,24,15,20000,1,400000,0,2
3010,24,6,20000,0,400000,1,4
3029,33,36,20000,0,400000,1,2
3054,21,36,20000,,400000,0,1
3361,20,,20000,0,400000,0,1
2190,,,150000,0,410000,1,4
592,30,24,100000,0,410000,0,2
487,27,,60000,1,410000,1,2
859,28,36,50000,0,410000,0,2
2649,,47,450000,0,415000,1,2
3445,24,,420000,0,420000,1,2
704,30,36,200000,0,420000,1,2
2583,30,84,200000,,420000,0,2
2822,36,,200000,0,420000,1,2
2941,24,12,189000,3,420000,0,2
3522,24,2,170000,0,420000,0,4
180,23,12,150000,0,420000,1,3
207,23,12,150000,0,420000,1,3
1889,23,6,150000,1,420000,0,2
2164,23,12,150000,0,420000,1,3
2170,23,12,150000,0,420000,1,3
2477,23,12,150000,0,420000,1,3
3118,23,12,150000,0,420000,1,3
3123,23,12,150000,0,420000,1,3
3236,25,3,150000,,420000,0,2
1647,24,3,140000,1,420000,0,2
2955,24,12,130000,0,420000,0,2
1484,22,,120000,0,420000,0,2
2976,24,1,116000,1,420000,0,2
1785,28,2,110000,0,420000,0,2
432,24,13,100000,0,420000,0,2
591,39,0,100000,0,420000,0,2
1687,26,36,100000,,420000,0,2
1908,,,100000,0,420000,0,3
2223,26,36,100000,,420000,0,2
2603,26,36,100000,,420000,0,2
3453,24,2,90000,0,420000,0,2
576,26,12,80000,0,420000,1,2
2439,24,12,80000,,420000,0,2
1798,22,2,70000,0,420000,0,2
1260,27,0,60000,1,420000,0,2
3167,26,7,60000,,420000,0,2
1834,28,15,50000,0,420000,0,2
752,22,2,40000,0,420000,0,2
562,,48,180000,0,430000,1,2
1485,23,,150000,0,430000,0,2
1633,23,12,150000,1,430000,1,3
2709,,26,150000,0,430000,0,2
2970,30,8,131000,0,430000,1,2
3283,,24,120000,,430000,1,2
3110,,60,110000,2,430000,1,2
1305,,48,80000,0,430000,1,2
2729,,1,80000,0,430000,0,2
1262,23,17,60000,1,430000,1,2
2425,24,37,50000,0,430000,0,4
1831,24,4,30000,0,430000,0,2
3210,43,13,10000,0,431000,0,2
1180,33,60,170000,,440000,0,2
32,27,36,100000,,440000,0,2
900,22,1,50000,0,440000,0,2
2635,,48,300000,,450000,1,2
3324,30,36,300000,,450000,0,2
773,33,48,210000,0,450000,1,2
